N.Iteracoes 	Solucao
1				22
2				24
3				26
4				28
5				30
6				32
7				34
8				36
9				38
10				40
11				42
12				44
13				46
14				48
15				50
16				52
17				54
18				56
19				58
20				60
21				62
22				64
23				66
24				68
25				70
26				72
27				74
28				76
29				78
30				80
31				82
32				84
33				86
34				88
35				90
36				92
37				94
38				96
39				98
40				100
41				102
42				104
43				106
44				108
45				110
46				112
47				114
48				116
49				118
50				120
51				122
52				124
53				126
54				128
55				130
56				132
57				134
58				136
59				138
60				140
61				142
62				144
63				146
64				148
65				150
66				152
67				154
68				156
69				158
70				160
71				162
72				164
73				166
74				168
75				170
76				172
77				174
78				176
79				178
80				180
81				182
82				184
83				186
84				188
85				190
86				192
87				194
88				196
89				198
90				200
91				202
92				204
93				206
94				208
95				210
96				212
97				214
98				216
99				218
100				220
